investigating_agency,roadway_number,building_number,roadway_direction,roadway_name,roadway_suffix,roadway_type,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,latitude,longitude,milepoint,day_of_week,date,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision,fatality_indicator,injury_indicator
LOUISVILLE METRO POLICE DEPT,US0031W,7600,,DIXIE,HWY,STATE,,,,,,,38.14291255,-85.8399874,11.64,WEDNESDAY,2021-06-02 01:51:00-04:00,3,1,RAINING,WET,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,,1307,,CLARA,AVE,METRO,,,,,,,38.19976102,-85.78328067,0.035,MONDAY,2021-06-28 18:00:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,2907,W,MARKET,ST,METRO,,29TH,,,,,38.2600609,-85.79897838,0.688,SUNDAY,2021-07-04 21:27:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,False,True
LOUISVILLE METRO POLICE DEPT,,3100,,RIVER,RD,METRO,,,,,,,38.28071243,-85.69456457,0.163,SATURDAY,2021-07-10 06:05:00-04:00,2,1,RAINING,WET,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,False,False,True
LOUISVILLE METRO POLICE DEPT,,,S,26TH,ST,METRO,,MARKET,,,,,38.25949921,-85.79374753,0.087,SATURDAY,2021-08-14 01:43:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,GARLAND,AVE,METRO,,28TH,,,,,38.24496253,-85.79907815,1.76,TUESDAY,2021-08-24 16:29:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,7123,,GRADE,LN,METRO,,,,,,,38.14252642,-85.73850772,3.102,MONDAY,2021-08-30 21:05:00-04:00,2,1,RAINING,WET,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,False,True,False
LOUISVILLE METRO POLICE DEPT,KY1020,,,NATIONAL,TPKE,STATE,,TOLLS,,,,,38.13561156,-85.75231654,4.278,SUNDAY,2021-09-19 17:23:00-04:00,2,1,RAINING,WET,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,True,False
LOUISVILLE METRO POLICE DEPT,,,S,24TH,ST,METRO,,CHESTNUT,,,,,38.25274365,-85.79191514,0.531,MONDAY,2021-09-20 21:12:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
SHIVELY POLICE DEPARTMENT,KY1931,3200,,7TH STREET,RD,STATE,,,,,,,38.20024902,-85.79540761,8.821,THURSDAY,2021-09-23 17:06:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,True,False
LOUISVILLE METRO POLICE DEPT,US0031W,,S,22ND,ST,STATE,,,,WOODLAND,,STANDARD,38.23216589,-85.79155393,18.399,THURSDAY,2021-11-04 19:16:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,KY2048,,,DUTCHMANS,LN,STATE,,GAST,,,,,38.22419746,-85.65463154,0.234,TUESDAY,2021-11-16 01:40:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
ST. MATTHEWS POLICE DEPARTMENT,,,,BROWNS,LN,METRO,,,,HILLSBORO,,SPRINGHILL,38.24326735,-85.64012803,0.733,MONDAY,2021-12-06 06:22:00-05:00,2,1,RAINING,WET,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0907,,,SOUTHSIDE,DR,STATE,KY1020,NATIONAL,,,,,38.15253447,-85.76563646,7.036,THURSDAY,2021-12-23 16:05:00-05:00,2,1,CLOUDY,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,W,MARKET,ST,METRO,,,,,,,38.26036316,-85.80158418,0.832,SUNDAY,2022-01-02 14:13:00-05:00,2,1,CLOUDY,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,S,3RD,ST,METRO,,LANSING,,,,,38.19257578,-85.76494974,0.552,SUNDAY,2022-01-02 19:28:00-05:00,2,1,CLEAR,DRY,True,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1727,6600,,TERRY,RD,STATE,,,,,,,38.15448135,-85.86872195,2.292,MONDAY,2022-02-21 20:29:00-05:00,2,1,CLOUDY,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,KY0155,,,TAYLORSVILLE,RD,STATE,I 0264,I264 W EXIT17A OFF RAMP TO KY155 S,,,,,38.22159715,-85.65281677,14.795,THURSDAY,2022-04-21 15:00:00-04:00,2,1,CLOUDY,DRY,False,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,ZORN,AVE,METRO,I 0071,I71 S EXIT2 ON RAMP FROM  ZORN AVE,,,,,38.27522185,-85.69768777,1.584,SUNDAY,2022-04-24 19:47:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,E,PAGES,LN,METRO,,,,,,,38.11700138,-85.83544687,1.176,TUESDAY,2022-05-17 17:35:00-04:00,1,0,CLEAR,DRY,True,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,2819,,RODMAN,ST,METRO,,,,,,,38.20870017,-85.77000137,0.208,WEDNESDAY,2022-06-22 14:42:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031W,,,DIXIE,HWY,STATE,,,,US31W RAMP FROM KY841,,US31W,38.09328054,-85.87415593,0.248,MONDAY,2022-06-27 16:59:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,True,False
SHIVELY POLICE DEPARTMENT,KY2051,2400B,,ROCKFORD,LN,STATE,,,,,,,38.17646922,-85.84291334,1.087,TUESDAY,2022-06-28 01:11:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0864,,,POPLAR LEVEL,RD,STATE,,,,,,,38.19159858,-85.70528129,11.009,THURSDAY,2022-06-30 23:56:00-04:00,1,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,ARCADE,AVE,METRO,,UTAH,,,,,38.20640539,-85.78471095,0.343,SUNDAY,2022-07-10 17:31:00-04:00,1,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1727,,,TERRY,RD,STATE,,RIVER POINTE,,,,,38.15033382,-85.86990369,1.999,SUNDAY,2022-07-17 02:28:00-04:00,5,4,CLOUDY,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,HEAD ON,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,,4731,S,3RD,ST,METRO,,,,,,,38.18115045,-85.76631558,1.347,SUNDAY,2022-07-17 21:16:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,1100B,,HOMEVIEW,DR,METRO,,,,,,,38.20508533,-85.77826683,0.263,THURSDAY,2022-08-11 15:31:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY2048,,,DUTCHMANS,LN,STATE,,GAST,,,,,38.22415874,-85.65468992,0.227,WEDNESDAY,2022-08-17 14:46:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,NORRIS,PL,METRO,,DEERWOOD,,,,,38.22698007,-85.70841093,0.393,SUNDAY,2022-09-11 19:30:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAWN,False,False,True
LOUISVILLE METRO POLICE DEPT,,,S,32ND,ST,METRO,,KENTUCKY,,,,,38.24420417,-85.80596595,1.215,WEDNESDAY,2022-09-21 12:18:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1065,2200,,OUTER,LOOP,STATE,,,,,,,38.13265984,-85.72616727,3.819,WEDNESDAY,2022-09-28 05:29:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),False,False,True
SHIVELY POLICE DEPARTMENT,KY2049,2211,,CRUMS,LN,STATE,,,,,,,38.1944999,-85.81306161,1.384,MONDAY,2022-10-03 21:11:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1865,,,NEW CUT,RD,STATE,,KENWOOD,,,,,38.16161384,-85.77917151,3.775,FRIDAY,2022-10-21 22:35:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0061,,,PRESTON,HWY,STATE,,LAMBERT,,,,,38.1350234,-85.68490408,3.708,TUESDAY,2022-11-01 20:17:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,US0031W,10101,,DIXIE,HWY,STATE,,,,,,,38.11124573,-85.8642182,8.918,WEDNESDAY,2022-11-09 02:45:00-05:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1020,,,NATIONAL,TPKE,STATE,,FARMERS,,,,,38.10344391,-85.73983383,1.904,MONDAY,2022-11-14 15:36:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,True,False
LOUISVILLE METRO POLICE DEPT,KY0155,,,TAYLORSVILLE,RD,STATE,,BROADMEADE,,,,,38.22370186,-85.67865636,16.205,FRIDAY,2023-01-27 14:45:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0841,,,GENE SNYDER,FWY,STATE,,,KY0841,KY841 CROSSOVER,I 0065,I65 S EXIT125 RAMP FROM KY481,38.11419064,-85.71575301,9.459,MONDAY,2023-02-13 16:39:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,True,False
LOUISVILLE METRO POLICE DEPT,KY1865,,,NEW CUT,RD,STATE,KY0907,SOUTHSIDE,,,,,38.14578799,-85.77531827,2.672,TUESDAY,2023-02-21 16:09:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,LOUIS COLEMAN JR,DR,METRO,,BROADWAY,,,,,38.24984892,-85.8078801,0.772,TUESDAY,2023-06-20 19:30:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0060A,1643,,BERRY,BLVD,STATE,,,,,,,38.19665319,-85.79289735,0.92,SATURDAY,2023-07-22 01:47:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,KRAMERS,LN,METRO,,,,,,,38.20392845,-85.8434775,0.507,THURSDAY,2023-08-10 16:15:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LYNDON POLICE DEPARTMENT,,,,LA GRANGE,RD,METRO,,,,BLUE VALE,,AUTUMN RIDGE,38.26539706,-85.59463847,0.706,TUESDAY,2023-08-15 07:19:00-04:00,3,2,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,True,False
LOUISVILLE METRO POLICE DEPT,,,,FEGENBUSH,LN,METRO,,NORFOLK,,,,,38.18387487,-85.63826634,0.233,MONDAY,2023-08-21 14:57:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,DELOR,AVE,METRO,,PACKARD,,,,,38.210348,-85.73353629,0.937,WEDNESDAY,2023-08-30 07:49:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,OLD BROWNSBORO HILLS,RD,BROWNSBORO FARM,,,,,,,38.30124306,-85.59547943,0.131,FRIDAY,2023-09-01 16:20:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,True,False
LOUISVILLE METRO POLICE DEPT,KY1065,,,OUTER,LOOP,STATE,,,,CAROL,,NOLTEMEYER WYNDE,38.13826052,-85.68378317,6.22,FRIDAY,2023-09-22 23:25:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
