investigating_agency,roadway_number,building_number,roadway_direction,roadway_name,roadway_suffix,roadway_type,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,latitude,longitude,milepoint,day_of_week,date,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision,fatality_indicator,injury_indicator
LOUISVILLE METRO POLICE DEPT,,,,WILSON,AVE,METRO,,HEMLOCK,,,,,38.2301964,-85.8038105,1.679,WEDNESDAY,2017-11-22 17:01:00-05:00,2,1,CLEAR,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,JEANINE,DR,METRO,,WOODED,,,,,38.1636178,-85.6880079,0.413,THURSDAY,2017-12-14 17:09:00-05:00,2,1,CLOUDY,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,False,True
LOUISVILLE METRO POLICE DEPT,,,S,FLOYD,ST,METRO,,ORMSBY,,,,,38.2314878,-85.7521548,1.684,MONDAY,2018-01-08 16:16:00-05:00,2,1,CLOUDY,WET,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0907,,,VALLEY STATION,RD,STATE,,,,,,,38.1056003,-85.8543875,0.714,FRIDAY,2018-03-02 17:16:00-05:00,2,1,CLEAR,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,,BASHFORD MANOR,,,,,38.2029986,-85.6644104,11.346,THURSDAY,2018-04-05 21:09:00-04:00,2,1,CLEAR,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1065,,,OUTER,LOOP,STATE,KY0061,PRESTON,,,,,38.138463,-85.6868521,6.046,SUNDAY,2018-04-29 20:50:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,BEECH,ST,METRO,,,,WILSON,,DR WILLIAM G WEATHERS,38.2276723,-85.8047807,0.786,FRIDAY,2018-05-04 16:09:00-04:00,2,1,CLOUDY,DRY,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,6005,,GLORIA,LN,METRO,,,,,,,38.16323845,-85.70578097,0.049,SATURDAY,2018-05-26 16:45:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1931,3636,,MANSLICK,RD,STATE,,,,,,,38.1911706,-85.80087701,8.072,FRIDAY,2018-06-22 22:40:00-04:00,2,1,CLOUDY,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1747,,,FERN VALLEY,RD,STATE,,,,JEFFERSON,KY1747,KY1747 CROSSOVER,38.1569777,-85.67270365,3.267,WEDNESDAY,2018-07-25 22:53:00-04:00,2,1,CLOUDY,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,KY0061,,,PRESTON,HWY,STATE,,,,LORETTA,,KREMER,38.17119556,-85.7091038,6.556,TUESDAY,2018-08-28 22:20:00-04:00,3,2,CLEAR,DRY,True,COLLISION WITH PEDESTRIAN NON - INTERSECTION,ANGLE,STRAIGHT & LEVEL,OTHER,False,True,False
LOUISVILLE METRO POLICE DEPT,KY1447,,,WESTPORT,RD,STATE,,,,CREEK,,OLD WESTPORT,38.27659047,-85.6022913,3.418,THURSDAY,2018-08-30 04:04:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,,3305,,GREENWOOD,AVE,METRO,,,,,,,38.24302955,-85.80804455,1.243,THURSDAY,2018-08-30 19:54:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY0841,,,GENE SNYDER,FWY,STATE,,,US0031W,US31W N RAMP TO KY841 E,KY0841,KY841 RAMP TO  STONESTREET RD,38.08829957,-85.84604917,1.636,MONDAY,2018-09-17 00:12:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,False,True,False
LOUISVILLE METRO POLICE DEPT,,,W,PAGES,LN,METRO,,,,KERRY,US0031W,DIXIE,38.1303723,-85.8498403,0.109,WEDNESDAY,2018-09-26 09:18:00-04:00,2,1,CLOUDY,WET,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1747,,,FERN VALLEY,RD,STATE,,,,,,,38.1570984,-85.6743159,3.178,THURSDAY,2018-11-01 23:29:00-04:00,2,1,FOG WITH RAIN,WET,False,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,,,,PEE WEE REESE,RD,METRO,KY0155,TAYLORSVILLE,,,,,38.22293549,-85.66846628,0.004,WEDNESDAY,2018-11-07 12:48:00-05:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY2054,,,ALGONQUIN,PKWY,STATE,,,,COLORADO,,COMPTON,38.21344516,-85.77239938,3.047,SATURDAY,2018-11-17 17:47:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DUSK,False,True,False
LOUISVILLE METRO POLICE DEPT,KY0864,,,POPLAR LEVEL,RD,STATE,,,,HUNTINGTON PARK,,PRODUCE,38.17917741,-85.69210133,9.875,WEDNESDAY,2018-11-21 11:16:00-05:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,3611,,PARTHENIA,AVE,METRO,,,,,,,38.19415953,-85.79224716,0.644,SATURDAY,2019-01-05 01:45:00-05:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,True,False
LOUISVILLE METRO POLICE DEPT,,4325,,DOVER,RD,METRO,,,,,,,38.18642906,-85.83311005,0.56,THURSDAY,2019-03-28 21:41:00-04:00,2,1,CLOUDY,DRY,True,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,RUDY,LN,METRO,,,,TWO SPRINGS,,MERRIFIELD,38.27500229,-85.63508298,0.289,FRIDAY,2019-04-12 13:41:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,True,False,True
LOUISVILLE METRO POLICE DEPT,,,,RUDY,LN,METRO,,,,TWO SPRINGS,,MERRIFIELD,38.27500229,-85.63508298,0.289,FRIDAY,2019-04-12 13:41:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,True,False,True
LOUISVILLE METRO POLICE DEPT,KY1020,,S,3RD,ST,STATE,,ST CATHERINE,,,,,38.23722912,-85.75820702,11.488,TUESDAY,2019-04-23 12:26:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,US0060,,,FRANKFORT,AVE,STATE,,JANE,,,,,38.25336845,-85.70332341,0.926,THURSDAY,2019-05-16 19:19:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,2803,,WYANDOTTE,AVE,METRO,,,,,,,38.22486978,-85.80242383,0.036,MONDAY,2019-05-27 16:12:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,,,,RIVER,RD,METRO,,INDIAN HILLS,,,,,38.28934787,-85.68231391,1.042,SUNDAY,2019-06-02 10:07:00-04:00,2,1,CLEAR,DRY,False,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,False,True
LOUISVILLE METRO POLICE DEPT,KY1450,,,BLUE LICK,RD,STATE,,HILLPARK,,,,,38.09645071,-85.69658439,0.739,SATURDAY,2019-08-10 23:48:00-04:00,2,1,CLEAR,DRY,True,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,False,True
LYNDON POLICE DEPARTMENT,KY2050,708,,LYNDON,LN,STATE,,,,,,,38.26026409,-85.60523228,0.126,FRIDAY,2019-09-20 05:11:00-04:00,2,1,CLOUDY,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,False,True
