investigating_agency,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run_indicator,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision_indicator,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
LOUISVILLE METRO POLICE DEPT,KY0061,,PRESTON,HWY,,7.764,,,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-10-23 15:12:00-04:00,38.1847769,-85.722987,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,LIBERTY,ST,W,0.6,,4TH,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2015-10-24 04:00:00-04:00,38.2530785,-85.7573043,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,INDIAN,TRL,E,1.198,KY0864,POPLAR LEVEL,,,,,2,1,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,False,2015-10-27 07:04:00-04:00,38.1715475,-85.6849979,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,29TH,ST,S,,,BROADWAY,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-11-03 00:00:00-05:00,38.201666667,-85.536666667,False,False,TUESDAY
NORTHFIELD POLICE DEPARTMENT,KY2050,,HERR,LN,,1.632,,GREENLAWN,,,,,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-11-09 07:05:00-05:00,38.2772996,-85.6221841,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,DIXIE,HWY,,0.429,,,,GARLAND,,DATE,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-11-10 15:46:00-05:00,38.2430418,-85.7844986,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,SMYRNA,PKWY,,0.105,,VANDRE,,,,,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/OFF,False,2015-11-15 19:21:00-05:00,38.1364345,-85.6420196,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,US0031W,,DR W J HODGE,ST,,19.62,US0150,BROADWAY,,,,,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-11-16 11:34:00-05:00,38.2487361,-85.786601,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,MURPHY,LN,,0.099,KY1447,WESTPORT,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2015-11-17 18:17:00-05:00,38.3033063,-85.533411,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,KY1450,,BLUE LICK,RD,,3.351,,,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2015-11-19 17:00:00-05:00,38.1323209,-85.6869601,False,False,THURSDAY
ST. MATTHEWS POLICE DEPARTMENT,US0060,4224,SHELBYVILLE,RD,,4.578,,,,,,,2,1,RAINING,WET,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-11-21 14:18:00-05:00,38.2513956,-85.6368645,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,PARK,RD,S,0.73,,,KY1450  ,BLUE LICK,,WHITEOAK PARK,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-11-24 16:53:00-05:00,38.1164283,-85.6901119,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,BARRET,AVE,,0.32,US0150,BROADWAY,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-11-25 16:37:00-05:00,38.2442631,-85.7339588,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,KY1065,,OUTER,LOOP,,6.988,,,,LAUREL RIDGE,,JUDGE,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-11-27 14:50:00-05:00,38.1378721,-85.6696753,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,42ND,ST,S,0.691,,,,ELLIOTT,,BROADWAY,2,1,RAINING,WET,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2015-11-29 20:09:00-05:00,38.2521799,-85.8224194,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,11.344,,BASHFORD MANOR,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-12-03 15:56:00-05:00,38.2028855,-85.6645763,False,False,THURSDAY
SHIVELY POLICE DEPARTMENT,,,STALLINGS,AVE,,0.005,US0031W,DIXIE,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2015-12-11 10:44:00-05:00,38.1747011,-85.8227096,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,GAGEL,AVE,,0.919,,,,ESTATE,,DE MEL,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & HILLCREST,DUSK,False,2015-12-13 18:20:00-05:00,38.1727528,-85.8058467,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,REASOR,AVE,,0.0,KY0864,GOSS,,,,,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-01-02 15:10:00-05:00,38.2245799,-85.7311092,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0042,,US42,,,5.925,,,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-01-06 13:56:00-05:00,38.281396,-85.6346458,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,KY1020,927,2ND,ST,S,11.708,,,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-01-14 10:00:00-05:00,38.2402026,-85.756035,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,2ND,ST,S,11.745,,,,BRECKINRIDGE,,KENTUCKY,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-01-14 11:48:00-05:00,38.2407328,-85.7559704,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,SAINT CATHERINE,ST,E,0.866,KY0061,JACKSON,,,,,2,1,BLOWING SAND/SOIL/DIRT/SNOW,SNOW/SLUSH,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2016-01-22 21:40:00-05:00,38.2353304,-85.7472943,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,COOPER CHAPEL,RD,,0.819,,,,INDIAN FALLS,,LEISURE,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-01-29 09:32:00-05:00,38.1032148,-85.657555,True,False,FRIDAY
