investigating_agency,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run_indicator,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision_indicator,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
LOUISVILLE METRO POLICE DEPT,US0042,,BROWNSBORO,RD,,1.744,,JANE,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,False,2010-01-13 10:00:00-05:00,38.2585512,-85.7035761,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,ZORN,AVE,,1.476,I 0071,I71 N EXIT2 OFF RAMP TO ZORN AVE,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-01-13 13:40:00-05:00,38.2739947,-85.6965716,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,PETERSON,AVE,S,0.278,,,,GRINSTEAD,,GRINSTEAD,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,False,2010-01-15 15:50:00-05:00,38.2500121,-85.6972652,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,GEORGETOWN,PL,,0.051,,CONN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-02 06:11:00-05:00,38.1958905,-85.7933803,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,PEE WEE REESE,RD,,2.116,,,,WILLIS,KY2048,CANNONS,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-05 18:20:00-05:00,38.2461358,-85.6646854,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,SOUTHERN,PKWY,,8.535,,,,FLORENCE,I 0264,I264 W EXIT10 ON RAMP FROM KY1020,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-18 17:12:00-05:00,38.1918878,-85.76672,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,US0031,,BARDSTOWN,RD,,,,DEERPARK,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & GRADE,DAYLIGHT,False,2010-02-20 16:20:00-05:00,38.23185,-85.707933333,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,15TH,ST,S,1.928,,MUHAMMAD ALI,,,,,2,1,SNOWING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-02-24 10:00:00-05:00,38.2531405,-85.7756935,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,15.058,,LONGEST,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-06 09:35:00-05:00,38.2353773,-85.7155001,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0150,,BROADWAY,,W,2.382,,4TH,,,,,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-03-08 21:00:00-05:00,38.2461807,-85.7583673,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,14.545,,SHERWOOD,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-09 15:50:00-05:00,38.2315605,-85.7078481,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,PARK BOUNDARY,RD,,0.0,,BARRET HILL,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,False,2010-03-10 17:10:00-05:00,38.2361411,-85.6889871,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,UPPER HUNTERS,TRCE,,0.705,,WEBER,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,False,2010-03-11 19:04:00-05:00,38.1669122,-85.8409812,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,BROOK,ST,S,1.354,,,,CARDINAL,,BLOOM,2,1,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-03-12 12:33:00-05:00,38.2207713,-85.7562117,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,GRASTON,AVE,,0.368,,,,ELMORE,,LAMAR,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2010-03-19 20:07:00-04:00,38.170692,-85.8354382,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,MCCREADY,AVE,,0.004,US0060,FRANKFORT,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-21 14:45:00-04:00,38.2542832,-85.6747769,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,HANCOCK,ST,S,0.333,,MARSHALL,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-22 10:10:00-04:00,38.25022,-85.7426599,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,ROY WILKINS,AVE,,0.098,I 0064,I64 E EXIT4 ON RAMP FROM N 9TH ST,,,,,2,1,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-03-25 22:00:00-04:00,38.2563041,-85.765701,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY2051,,CAMP GROUND,RD,,4.141,,,,,,,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2010-04-02 04:47:00-04:00,38.203094,-85.8534727,False,True,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0150,,BROADWAY,,E,3.447,,,KY0864  ,SHELBY,,LOGAN,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-02 08:20:00-04:00,38.2446508,-85.7387278,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,15.019,,,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-05 17:01:00-04:00,38.2351016,-85.7149059,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,BARRET,AVE,,1.01,,WINTER,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-06 13:25:00-04:00,38.2357326,-85.7276512,False,False,TUESDAY
ST. MATTHEWS POLICE DEPARTMENT,,,FAIRLAWN,RD,,0.0,US0060,FRANKFORT,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2010-04-07 10:00:00-04:00,38.2538802,-85.6680746,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,KY1631,,CRITTENDEN,DR,,1.202,I 0065,I65 S EXIT132 OFF RAMP TO CRITTENDEN DR,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-12 16:00:00-04:00,38.2053636,-85.7508102,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,14.56,,SHERWOOD,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,False,2010-04-15 22:00:00-04:00,38.231627,-85.7081335,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY2053,,MT WASHINGTON,RD,,0.159,,,,MAPLE,,STANDIFORD PLAZA,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-22 15:35:00-04:00,38.0924847,-85.6664736,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,GATHWRIGHT,DR,,0.131,,ALLEN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-28 19:50:00-04:00,38.1903297,-85.6635947,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,ELEANOR,AVE,,0.347,,WROCKLAGE,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2010-04-28 21:30:00-04:00,38.2254164,-85.6864031,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,KINGSTON,AVE,E,0.33,,,,SOUTHLAND,,WABASH,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-04-29 16:00:00-04:00,38.1738964,-85.7585396,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,CHESTNUT,ST,W,0.502,,24TH,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-05-01 03:55:00-04:00,38.2527137,-85.7917731,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,ST LOUIS,AVE,,0.238,US0031W,22ND,,,,,2,1,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-02 10:05:00-04:00,38.2336912,-85.7908859,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,NORTHEWSTERN,PKWY,,,,27TH,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-03 00:00:00-04:00,38.27405,-85.790516667,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,ARLING,AVE,,,,,,TAYLOR,,WHITMORE,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-03 18:34:00-04:00,38.17335,-85.7828,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,LOCUST,LN,,0.14,KY0061,PRESTON,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-04 13:04:00-04:00,38.2068938,-85.7375573,False,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,KY1747,,FERN VALLEY,RD,,0.266,,,,FERN GRADE,,BEANBLOSSOM,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2010-05-04 22:39:00-04:00,38.1576026,-85.7271921,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,GRINSTEAD,DR,,0.086,KY1703,BAXTER,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,False,2010-05-05 14:41:00-04:00,38.2377977,-85.7223729,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,OAK,ST,E,0.429,KY0061,JACKSON,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-06 07:53:00-04:00,38.2341948,-85.7474846,False,False,THURSDAY
SHIVELY POLICE DEPARTMENT,US0031W,,DIXIE,HWY,,15.726,,,,NOBEL,,NOBEL,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-09 16:05:00-04:00,38.1970461,-85.8047443,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,2ND,ST,S,11.708,,,,KENTUCKY,,BRECKINRIDGE,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-15 12:58:00-04:00,38.2402,-85.7560366,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,2ND,ST,S,12.099,US0150,BROADWAY,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-15 17:45:00-04:00,38.2458782,-85.7550195,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,JEFFERSON,ST,W,1.362,,16TH,,,,,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-18 16:39:00-04:00,38.2560212,-85.7768609,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,7TH,ST,S,2.427,,MUHAMMAD ALI,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-20 14:04:00-04:00,38.2517294,-85.7625336,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY0061,,PRESTON,HWY,,3.871,,,,OKOLONA,KY1065,OUTER LOOP,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-21 11:45:00-04:00,38.1373726,-85.685877,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY1865,,TAYLOR,BLVD,,4.343,,SOUTHERN,,,,,2,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-31 10:30:00-04:00,38.1698164,-85.7812372,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,KY1865,,NEW CUT,RD,,1.532,,CANDLELIGHT,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & HILLCREST,DAYLIGHT,False,2010-05-31 16:10:00-04:00,38.1297788,-85.7738032,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,4TH,ST,S,3.608,,,,CENTRAL,,OAKDALE,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2010-06-02 17:38:00-04:00,38.2048287,-85.7656187,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,26TH,ST,S,1.031,,HOWARD,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-03 21:01:00-04:00,38.2458582,-85.7952728,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY1020,,3RD,ST,S,11.316,,OAK,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-06 17:45:00-04:00,38.2348631,-85.7586636,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,HERB,,,,,DOREEN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-07 16:31:00-04:00,38.1989,-85.659783333,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,7TH,ST,S,2.515,,CEDAR,,,,,2,1,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,False,2010-06-09 07:49:00-04:00,38.2529832,-85.7622235,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,ORMSBY STATION,RD,,0.0,KY1747,HURSTBOURNE,,,,,2,1,CLOUDY,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-11 08:20:00-04:00,38.2629529,-85.5745787,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0060,,SHELBYVILLE,RD,,9.898,,,,MADISON,,OLD HARRODS CREEK,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-11 15:03:00-04:00,38.2465123,-85.540358,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,BANK,ST,,0.293,,,,41ST,,39TH,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2010-06-11 20:00:00-04:00,38.2718505,-85.8128929,False,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,KY1065,,OUTER LOOP,,,4.943,,,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,False,2010-06-12 23:04:00-04:00,38.1370585,-85.7065111,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,GRAFTON HALL,RD,,0.135,,,KY0907  ,VALLEY STATION,,CHURCH,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-13 10:44:00-04:00,38.1034798,-85.8557275,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,6TH,ST,S,2.783,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-19 16:30:00-04:00,38.2055778,-85.7688124,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,2300,DIXIE,HWY,,1.676,,,,,,,2,2,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-21 11:00:00-04:00,38.2259046,-85.7915663,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,MUHAMMAD ALI,BLVD,W,0.917,,11TH,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-21 19:02:00-04:00,38.2525027,-85.7691989,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,GOLDSMITH,LN,,0.38,,,,PEABODY,,COLONIAL MANOR,2,1,CLOUDY,DRY,True,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-06-23 11:00:00-04:00,38.2027367,-85.6789852,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,PATTERSON,AVE,,0.0,US0031E,BARDSTOWN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-23 15:10:00-04:00,38.2373731,-85.7190994,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,CHARLOTTE ANN,DR,,0.068,,TARA GALE,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-23 15:54:00-04:00,38.1872604,-85.8445811,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,4303,SHENANDOAH,DR,,0.285,,,,,,,4,3,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLIST,ANGLE,CURVE & LEVEL,DAYLIGHT,True,2010-06-26 20:03:00-04:00,38.3106061,-85.5552424,True,True,SATURDAY
LOUISVILLE METRO POLICE DEPT,I 0264,,,,,0.229,I 0264,I264 E EXIT3 OFF RAMP TO HALE AVE,,,,,2,1,CLEAR,DRY,False,INTERSTATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-06-28 10:00:00-04:00,38.2407966,-85.8164946,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,YORK,ST,,0.498,,,KY1020  ,2ND,KY1020,3RD,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-29 20:01:00-04:00,38.2438758,-85.7562785,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,GRINSTEAD,AVE,,,,,,EVERETT,,HILLIARD,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,HEAD ON,CURVE & LEVEL,DARK-HWY LIGHTED/ON,False,2010-07-01 01:50:00-04:00,38.2375,-85.717166667,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY2048,,CANNONS,LN,,2.09,,WILLIS,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-03 21:00:00-04:00,38.2462924,-85.6643129,False,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,BARDSTOWN,RD,,14.631,,,US0060A ,EASTERN,,EDENSIDE,2,1,CLEAR,DRY,True,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-06 13:00:00-04:00,38.2320323,-85.7093888,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,1109,ASHLAND,AVE,W,0.735,,,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-08 17:15:00-04:00,38.18649,-85.7791096,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,26TH,ST,S,,,SLEVIN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DUSK,False,2010-07-09 21:06:00-04:00,38.259483333,-85.789116667,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,RIVER,RD,,1.151,,,,FRANKFORT,,ADAMS,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-11 13:09:00-04:00,38.2640141,-85.7269008,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,25TH,ST,S,,,,,OSAGE,,GRAND,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-11 18:16:00-04:00,38.2399,-85.794383333,True,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,KY0864,5013,POPLAR LEVEL,RD,,8.815,,,,,,,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-15 12:29:00-04:00,38.1664829,-85.6811508,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY1865,,NEW CUT,RD,,2.827,,,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-07-15 22:30:00-04:00,38.1481375,-85.7757737,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,CLAY,ST,S,1.136,,CALDWELL,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-16 18:28:00-04:00,38.2384693,-85.7426213,False,False,FRIDAY
ST. MATTHEWS POLICE DEPARTMENT,,,ST MATTHEWS,AVE,,0.097,,,KY1447  ,WESTPORT,US0060,SHELBYVILLE,2,1,RAINING,WET,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-20 09:00:00-04:00,38.2540469,-85.652243,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,4TH,ST,S,1.945,,MAGNOLIA,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-25 14:07:00-04:00,38.2287484,-85.761052,False,False,SUNDAY
LOUISVILLE METRO POLICE DEPT,,,CLAY,ST,S,0.726,,,,FINZER,US0150,BROADWAY,2,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-28 17:30:00-04:00,38.2443509,-85.7416203,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,US0031E,,MARKET,ST,E,17.467,,FLOYD,,,,,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-29 07:58:00-04:00,38.2542054,-85.747774,True,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,,,ELANE,DR,,0.004,KY1934,CANE RUN,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-29 19:16:00-04:00,38.1899704,-85.849552,False,False,THURSDAY
LOUISVILLE METRO POLICE DEPT,KY0155,,TAYLORSVILLE,RD,,,,,,WALLACE,,BARDSTOWN,2,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,ANGLE,STRAIGHT & GRADE,DAYLIGHT,False,2010-07-30 17:52:00-04:00,38.220816667,-85.68355,True,False,FRIDAY
