longitude,latitude,OBJECTID,main_street,cross_street,route_number,milepoint,owner,type
-85.7774031425097,38.220086217813,66,ALGONQUIN,7TH,KY-2054,2.519,KYTC,1
-85.8179721092264,38.2154415187368,67,CAMP GROUND,MILLERS,KY-1934,10.12,KYTC,1
-85.7230693922333,38.2140126765415,68,MCKINLEY,AUDUBON PLAZA,KY-864,12.901,KYTC,1
-85.7644323546392,38.2116419202207,69,4TH,MONTANA,,,METRO,1
-85.7646653601857,38.2103376203237,70,4TH,WINKLER,US-60,3.072,KYTC,1
-85.7507179094324,38.2029359152605,71,CENTRAL,CRITTENDEN,KY-1631,1.038,KYTC,1
-85.5184542082173,38.2435080588319,72,AIKEN,SHELBYVILLE,US-60,11.2,KYTC,1
-85.488321480259,38.2389019348276,73,SHELBYVILLE,BECKLEY STATION,US-60,12.9,KYTC,1
-85.5061093647524,38.2970244992681,74,LA GRANGE,WESTPORT,KY-1447,9.24,KYTC,1
-85.6356817045868,38.2804341087629,75,BROWNSBORO,I 264 RAMP,US-42,5.8,KYTC,1
-85.6462567062653,38.2211065259763,76,FURMAN,I 264 RAMP,KY-155,14.44,KYTC,1
-85.6621749288088,38.2534504367295,77,BAUER,MASONIC HOME,US-60,3.185,KYTC,1
-85.6525612557404,38.2526675455118,78,SHELBYVILLE,WILLIS,US-60,3.7,KYTC,1
-85.6608984174179,38.2516989453523,79,BAUER,LEXINGTON,US-60,10.339,KYTC,1
-85.5749935487793,38.2865844025158,80,WESTPORT RD,WESTPORT CIR,KY-1447,5.1,KYTC,1
-85.6454639699993,38.2742194952183,81,BLANKENBAKER,BROWNSBORO,US-42,5.15,KYTC,1
-85.6699335137392,38.2647603889657,82,BROWNSBORO,COUNTRY,US-42,3.66,KYTC,1
-85.6413792007958,38.2601394720214,83,HUBBARDS,WESTPORT,KY-1447,0.93,KYTC,1
-85.5401665546061,38.246580498205,84,SHELBYVILLE,MADISON,US-60,9.68,KYTC,1
-85.5815372083472,38.2202808493589,85,HURSTBOURNE,I 64 RAMP,KY-1747,11.68,KYTC,1
-85.6644820934022,38.2029254605165,86,BARDSTOWN,BASHFORD MANOR,US-31E,11.343,KYTC,1
-85.6251048255161,38.1976097020095,87,BRECKENRIDGE,SIX MILE,KY-1932,1.13,KYTC,1
-85.541709180243,38.2993227177694,88,CHAMBERLAIN,WESTPORT,KY-1447,7.04,KYTC,1
-85.578874013549,38.2676441713653,89,NEW LA GRANGE,WHIPPS MILL,KY-146,3.96,KYTC,1
-85.6380516441212,38.2784701730473,90,BROWNSBORO,RUDY,US-42,5.65,KYTC,1
-85.6353062270067,38.2414721443236,91,BROWNS,KRESGE,,,METRO,1
-85.6704742877952,38.2540671016074,92,CANNONS,FRANKFORT,US-60,2.733,KYTC,1
-85.5439793566857,38.2450422794784,93,HERITAGE HILL,SHELBYVILLE,US-60,9.51,KYTC,1
-85.6220018587607,38.3232027513065,94,U S HIGHWAY 42,I 265 RAMP,US-42,8.95,KYTC,1
-85.6353094945818,38.2335414181915,95,DUTCHMANS,DUPONT,,,METRO,1
-85.5775607983635,38.3051551015271,96,BROWNSBORO,HURSTBOURNE,KY-22,3.29,KYTC,1
-85.5975903507776,38.2109084384474,97,STONY BROOK,HURSTBOURNE,KY-1747,10.55,KYTC,1
-85.5471144496277,38.2440992535695,98,SHELBYVILLE,BLANKENBAKER,KY-913,4.22,KYTC,1
-85.576953164481,38.242116497672,99,WHITTINGTON,HURSTBOURNE,KY-1747,13.2,KYTC,1
-85.5769852525228,38.2397510589372,100,WILLIAMSBURG,HURSTBOURNE,KY-1747,13.04,KYTC,1
-85.5769048856042,38.246431215218,101,SHELBYVILLE,HURSTBOURNE,US-60,7.86,KYTC,1
-85.5774509449161,38.2287928505811,102,LINN STATION,HURSTBOURNE,KY-1747,12.29,KYTC,1
-85.5642801128302,38.265544362217,103,DORSEY,HURSTBOURNE,KY-1747,15.33,KYTC,1
-85.5533179112242,38.2962426297371,104,TOWNE CENTER,INDIAN LAKE,KY-1447,6.39,KYTC,1
-85.6284356808548,38.2929322503502,105,U S HIGHWAY 42,SEMINARY,US-42,6.8,KYTC,1
-85.567446894709,38.3127254031212,106,BROWNSBORO,CHAMBERLAIN,KY-22,4.03,KYTC,1
-85.6147805287867,38.1236768720697,107,BEULAH CHURCH,I 265 RAMP,KY-864,3.37,KYTC,1
-85.6225760793623,38.1788351932372,108,BARDSTOWN,WATTERSON,US-31E,8.42,KYTC,1
